Real cluster_data[] = {
// mass [M_sun]  total_SF [M_sun]  r [kpc]  phi [rad]  z [kpc],
2.77156e+04,2.77156e+04,5.06612e+00,1.94546e+00,1.13931e-03,
1.00943e+04,3.78098e+04,5.24118e+00,4.19679e+00,4.09011e-03,
3.75597e+04,7.53695e+04,6.74895e+00,4.29847e-01,5.35049e-03,
1.44129e+04,8.97824e+04,4.38129e+00,1.90447e+00,9.53237e-04,
3.99711e+05,4.89493e+05,3.96407e+00,9.45915e-01,6.64261e-03,
1.45590e+05,6.35083e+05,9.43001e+00,4.29126e+00,8.78294e-03,
3.26526e+04,6.67736e+05,6.84425e+00,1.91360e+00,9.76434e-03,
1.60027e+04,6.83739e+05,7.77269e+00,3.56370e-01,2.00266e-03,
2.78995e+04,7.11638e+05,6.54461e+00,1.56488e+00,8.25529e-03,
1.04836e+04,7.22122e+05,4.93337e+00,3.88134e+00,4.56356e-03,
2.27921e+04,7.44914e+05,7.26990e+00,4.44924e+00,7.97608e-03,
1.84901e+05,9.29814e+05,3.49860e+00,7.28647e-01,3.96218e-03,
1.08738e+04,9.40688e+05,3.66964e+00,5.44878e-01,8.90041e-03,
1.01384e+04,9.50826e+05,7.42496e+00,5.32977e+00,7.70006e-03,
4.75535e+04,9.98380e+05,1.49219e+00,3.02107e-01,9.96632e-03,
3.05396e+04,1.02892e+06,7.80092e+00,3.53839e+00,5.65937e-03,
1.12694e+04,1.04019e+06,7.19311e+00,2.59800e+00,5.47748e-03,
2.17221e+04,1.06191e+06,1.24613e+00,5.01880e+00,1.50980e-03,
1.07219e+05,1.16913e+06,3.01721e+00,5.23376e+00,5.40393e-03,
2.05458e+05,1.37459e+06,2.19293e+00,5.67455e+00,3.61831e-04,
2.09036e+04,1.39549e+06,7.72381e+00,6.07615e-01,8.14457e-03,
2.45784e+04,1.42007e+06,5.96442e+00,4.88208e+00,4.40075e-03,
2.69866e+04,1.44706e+06,1.57097e+00,2.10818e+00,2.33160e-03,
8.51111e+04,1.53217e+06,1.51738e+00,5.35591e+00,2.15589e-03,
2.35811e+04,1.55575e+06,3.16428e+00,5.07119e+00,8.91269e-03,
2.25153e+04,1.57826e+06,5.60437e+00,5.27052e+00,9.86686e-03,
2.01636e+04,1.59843e+06,1.37717e+00,5.90527e+00,3.21066e-04,
5.45776e+04,1.65301e+06,3.49663e+00,1.37746e+00,1.48829e-03,
1.03041e+04,1.66331e+06,6.75172e+00,5.88879e+00,2.08200e-03,
3.68202e+04,1.70013e+06,9.41973e+00,6.16927e+00,3.84545e-03,
1.61902e+05,1.86203e+06,3.76844e+00,4.07995e+00,6.18668e-03,
1.06585e+04,1.87269e+06,8.78333e+00,1.78585e+00,9.84977e-03,
1.70166e+04,1.88971e+06,6.40808e+00,3.81525e+00,9.31002e-03,
1.18951e+04,1.90160e+06,4.03381e+00,5.06117e+00,1.86317e-03,
1.15256e+04,1.91313e+06,4.29514e+00,2.68099e+00,7.91982e-03,
